subject,session,task,edf_exists_locally,sampling_frequency,reference,ground,cap_model,device_model,n_channels_tsv,n_stimulus_events,n_tms_events,unique_tms_targets,events_path,edf_path
sub-P01,ses-01,phonemes,False,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,476,476,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P01/ses-01/eeg/sub-P01_ses-01_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P01/ses-01/eeg/sub-P01_ses-01_task-phonemes_eeg.edf
sub-P02,ses-01,phonemes,False,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,479,479,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P02/ses-01/eeg/sub-P02_ses-01_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P02/ses-01/eeg/sub-P02_ses-01_task-phonemes_eeg.edf
sub-P03,ses-01,phonemes,False,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,477,477,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P03/ses-01/eeg/sub-P03_ses-01_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P03/ses-01/eeg/sub-P03_ses-01_task-phonemes_eeg.edf
sub-P04,ses-01,phonemes,False,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,439,439,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P04/ses-01/eeg/sub-P04_ses-01_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P04/ses-01/eeg/sub-P04_ses-01_task-phonemes_eeg.edf
sub-P05,ses-01,phonemes,False,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,461,461,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P05/ses-01/eeg/sub-P05_ses-01_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P05/ses-01/eeg/sub-P05_ses-01_task-phonemes_eeg.edf
sub-P06,ses-01,phonemes,False,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,474,474,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P06/ses-01/eeg/sub-P06_ses-01_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P06/ses-01/eeg/sub-P06_ses-01_task-phonemes_eeg.edf
sub-P07,ses-01,phonemes,False,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,475,475,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P07/ses-01/eeg/sub-P07_ses-01_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P07/ses-01/eeg/sub-P07_ses-01_task-phonemes_eeg.edf
sub-P08,ses-01,phonemes,False,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,461,461,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P08/ses-01/eeg/sub-P08_ses-01_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-P08/ses-01/eeg/sub-P08_ses-01_task-phonemes_eeg.edf
sub-S01,ses-02,Words,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,120,120,"BA06, control_BA06",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S01/ses-02/eeg/sub-S01_ses-02_task-Words_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S01/ses-02/eeg/sub-S01_ses-02_task-Words_eeg.edf
sub-S01,ses-02,phonemes,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,240,240,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S01/ses-02/eeg/sub-S01_ses-02_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S01/ses-02/eeg/sub-S01_ses-02_task-phonemes_eeg.edf
sub-S01,ses-02,singlephoneme,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,110,110,"control_, control_BA06",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S01/ses-02/eeg/sub-S01_ses-02_task-singlephoneme_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S01/ses-02/eeg/sub-S01_ses-02_task-singlephoneme_eeg.edf
sub-S02,ses-02,Words,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,213,213,"BA06, BA44, control_BA06, control_BA44",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S02/ses-02/eeg/sub-S02_ses-02_task-Words_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S02/ses-02/eeg/sub-S02_ses-02_task-Words_eeg.edf
sub-S02,ses-02,phonemes,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,240,240,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S02/ses-02/eeg/sub-S02_ses-02_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S02/ses-02/eeg/sub-S02_ses-02_task-phonemes_eeg.edf
sub-S02,ses-02,singlephoneme,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,220,220,"control_BA06, control_BA44, control_lip, control_tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S02/ses-02/eeg/sub-S02_ses-02_task-singlephoneme_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S02/ses-02/eeg/sub-S02_ses-02_task-singlephoneme_eeg.edf
sub-S03,ses-02,Words,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,83,240,240,"BA06, BA44, control_BA06, control_BA44",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S03/ses-02/eeg/sub-S03_ses-02_task-Words_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S03/ses-02/eeg/sub-S03_ses-02_task-Words_eeg.edf
sub-S03,ses-02,phonemes,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,83,240,240,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S03/ses-02/eeg/sub-S03_ses-02_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S03/ses-02/eeg/sub-S03_ses-02_task-phonemes_eeg.edf
sub-S03,ses-02,singlephoneme,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,83,220,220,"control_BA06, control_BA44, control_lip, control_tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S03/ses-02/eeg/sub-S03_ses-02_task-singlephoneme_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S03/ses-02/eeg/sub-S03_ses-02_task-singlephoneme_eeg.edf
sub-S04,ses-02,Words,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,240,240,"BA06, BA44, control_BA06, control_BA44",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S04/ses-02/eeg/sub-S04_ses-02_task-Words_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S04/ses-02/eeg/sub-S04_ses-02_task-Words_eeg.edf
sub-S04,ses-02,phonemes,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,240,240,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S04/ses-02/eeg/sub-S04_ses-02_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S04/ses-02/eeg/sub-S04_ses-02_task-phonemes_eeg.edf
sub-S04,ses-02,singlephoneme,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,220,220,"control_BA06, control_BA44, control_lip, control_tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S04/ses-02/eeg/sub-S04_ses-02_task-singlephoneme_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S04/ses-02/eeg/sub-S04_ses-02_task-singlephoneme_eeg.edf
sub-S05,ses-02,Words,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,240,240,"BA06, BA44, control_BA06, control_BA44",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S05/ses-02/eeg/sub-S05_ses-02_task-Words_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S05/ses-02/eeg/sub-S05_ses-02_task-Words_eeg.edf
sub-S05,ses-02,phonemes,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,240,240,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S05/ses-02/eeg/sub-S05_ses-02_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S05/ses-02/eeg/sub-S05_ses-02_task-phonemes_eeg.edf
sub-S05,ses-02,singlephoneme,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,220,220,"control_BA06, control_BA44, control_lip, control_tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S05/ses-02/eeg/sub-S05_ses-02_task-singlephoneme_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S05/ses-02/eeg/sub-S05_ses-02_task-singlephoneme_eeg.edf
sub-S06,ses-02,Words,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,240,240,"BA06, BA44, control_BA06, control_BA44",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S06/ses-02/eeg/sub-S06_ses-02_task-Words_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S06/ses-02/eeg/sub-S06_ses-02_task-Words_eeg.edf
sub-S06,ses-02,phonemes,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,240,240,"control_lip, control_tongue, lip, tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S06/ses-02/eeg/sub-S06_ses-02_task-phonemes_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S06/ses-02/eeg/sub-S06_ses-02_task-phonemes_eeg.edf
sub-S06,ses-02,singlephoneme,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,220,220,"control_BA06, control_BA44, control_lip, control_tongue",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S06/ses-02/eeg/sub-S06_ses-02_task-singlephoneme_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S06/ses-02/eeg/sub-S06_ses-02_task-singlephoneme_eeg.edf
sub-S07,ses-02,Words,True,2000,CPz,AFz,WaveGuard 64-channel EEG cap,eego mylab system,61,240,240,"BA06, BA44, control_BA06, control_BA44",/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S07/ses-02/eeg/sub-S07_ses-02_task-Words_events.tsv,/Users/samxie/Research/EEG-Voice/ref_github/speech_decoding/data/raw/openneuro/ds006104_datalad/sub-S07/ses-02/eeg/sub-S07_ses-02_task-Words_eeg.edf
